id;uuid;device_uuid;type;manufacturer;model;os;app_version;inactive;created_by;created_date;last_modified_by;last_modified_date
1;0853a36d-c6be-4bd6-9270-04b307ecef80;psitt quoique;derechef chez;dynamique patientèle quand;euh de façon à ce que;comme forcer derrière;après que;true;spécialiste séculaire de façon à;2024-10-16T03:10:59;jusque percevoir large;2024-10-16T01:42:11
2;25e0512b-40b6-4da1-a3b6-9261d0e733c2;présidence ding;zzzz foule;aïe de sorte que;badaboum;émérite pendant que alentour;si;false;à l'insu de hebdomadaire;2024-10-16T03:03:53;pourvu que pourvu que;2024-10-15T21:44:14
3;58c0dd80-eca6-42fd-8e06-db88e041d4d6;à seule fin de essayer excuser;malade que de manière à ce que;sans que triangulaire;même si un peu;ha bang;a répéter envers;false;pff;2024-10-15T15:21:17;bè;2024-10-16T06:53:28
4;f1aef587-9fa7-4be0-bbd6-7deb5dfcb1f4;au lieu de prestataire de services m;à travers déborder;extrêmement de par sauvage;au cas où comme jusqu’à ce que;coupable d’autant que bang;paf;true;trier;2024-10-16T10:27:20;oups simple;2024-10-16T04:03:52
5;ed3920fc-3cad-4ab0-b2e6-87d44a5db1a7;en dehors de éveiller;hé;hors de;chut candide;ignorer au-dessus;en faveur de bof tordre;false;envahir membre de l’équipe;2024-10-15T20:06:21;sans que arrière que;2024-10-15T21:10:42
6;24f79e08-9d1e-4643-8e23-49149396b207;circulaire loin de apparemment;tic-tac loin de sédentaire;dire hors de;jamais ah de façon à;que en dépit de personnel;avant-hier tant que;true;diététiste;2024-10-16T11:07:26;alors que outre;2024-10-15T15:57:12
7;1e427969-c56b-4db3-80f9-ad693345c1cf;chef de cuisine rectorat jeune enfan;hormis;ding;renouveler pendant que de;conseil municipal;auprès de de façon à ce que incorporer;false;passer;2024-10-15T17:22:38;collègue;2024-10-16T12:42:54
8;42becd39-2bbd-4159-b62f-3939e8276089;concurrence;ferme à raison de;pas mal à cause de extra;selon sans groin groin;retomber rédaction;aux alentours de équipe broum;true;clac sympathique;2024-10-16T11:55:22;de façon à ce que rectorat;2024-10-15T19:47:06
9;331755c9-137a-4dfa-9e10-cac258140a07;même si antagoniste;au-dehors du fait que vlan;dresser neutre fermer;aimer jusqu’à ce que tendre;freiner grrr;trop athlète;false;accompagner;2024-10-16T08:36:46;réagir simple séculaire;2024-10-16T01:26:33
10;df3a65a8-8911-4f11-9833-73efc1b2890a;chef prestataire de services;miam;propre;infime;ici isoler;bon;true;parler;2024-10-16T08:56:09;cot cot;2024-10-15T15:07:40
