id;login;ip_address;is_after_lock;app;action;device;created_date;reason
1;charitable pour hôte;hirsute équipe de recherche perplexe;true;MOBILE;LOGIN;c4df34a1-8ea1-47b1-8aae-d86e6b3fe068;2024-10-16T00:25:41;impromptu peindre vétuste
2;jusqu’à ce que grrr;avex appuyer d'entre;false;AGENT;EMAIL_CHECK;198d4815-e42f-4263-b160-c59823bf2a0c;2024-10-15T19:37:32;ferme serviable présidence
3;athlète touriste coin-coin;quelque;false;MERCHANT;TRANSACTION;3771df52-4870-4b0c-b926-ea1cb5002b78;2024-10-16T04:26:28;pschitt tant que
4;timide nonobstant;coac coac tchou tchouu efficace;false;MOBILE;EMAIL_CHECK;c8865d5b-338c-4fab-accb-b0ada3289f7a;2024-10-15T20:27:07;au-dessus de minuscule drelin
5;malgré affable;de façon que équipe;true;AGENT;EMAIL_CHECK;e3b5069b-42fc-42c5-b4f6-88b91312a0e2;2024-10-16T05:05:12;avant que bientôt
6;membre du personnel areu areu;ding;false;PORTAL;LOGIN;0ae25a48-09ae-403e-b698-791b12c80d57;2024-10-15T23:29:53;touchant plouf peut-être
7;hors cadre;paf cuicui sous couleur de;false;AGENT;PASSWORD_RESET;99b80202-4cb6-40e9-9898-3450475c6c87;2024-10-15T17:35:16;à condition que
8;prier;aigre;false;MOBILE;DEVICE_CHECK;b6cfde67-0e25-4c49-8214-2b44f3e352f1;2024-10-15T14:08:41;habile drelin ouah
9;battre volontiers hirsute;quitte à;true;PORTAL;EMAIL_CHECK;abd76c70-5f7a-4dd6-a074-67ff58881073;2024-10-15T22:46:14;trop peu
10;moyennant délégation patientèle;hi;false;MOBILE;DEVICE_CHECK;1f3712b6-a3c9-4c63-93e4-1317a1e0dfde;2024-10-15T20:50:40;membre titulaire courir
