id;name;enabled;description;created_by;created_date;updated_by;updated_date
1;grrr tout à fait en;false;accuser;au point que;2024-10-15T22:26:13;juriste en faveur de révéler;2024-10-16T11:23:58
2;plouf;true;de façon que chef de crainte que;émérite;2024-10-16T12:05:29;à peine;2024-10-16T07:59:59
3;à seule fin de bang;true;brave vlan mener;vide;2024-10-15T22:19:40;fidèle quitter;2024-10-15T14:01:03
4;pff pff pin-pon;false;drelin;de façon que;2024-10-15T13:59:20;résumer à partir de coupable;2024-10-15T15:22:47
5;vouh conserver ronron;false;camarade;insister;2024-10-16T07:20:27;tôt;2024-10-15T17:32:08
6;au moyen de ci durant;false;quasi commis de cuisine toc-toc;probablement limiter minuscule;2024-10-16T08:31:49;chef de cuisine dorénavant;2024-10-15T17:49:18
7;au moyen de à l'entour de pourpre;true;adepte guide;pour que obliger;2024-10-16T11:36:38;quoique du fait que;2024-10-15T16:21:57
8;pas mal taper d’autant que;true;derrière;oui cuicui parlementaire;2024-10-15T23:17:29;tout à fait baiser;2024-10-15T22:43:10
9;depuis cuicui ensuite;true;jeune en plus de;ouah novice du moment que;2024-10-15T20:51:18;un peu commissionnaire tant;2024-10-15T17:13:58
10;amener accroître propre;true;recta oups;large groin groin;2024-10-16T06:30:36;repérer si écouter;2024-10-16T02:16:32
