id;uuid;status;other_holder;amount;description;currency;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;8b7b2f4f-44f5-44ab-86e6-bc664401b93d;PENDING;509e4dec-e239-43e8-a014-9afe331ec529;5986.16;a rire;con;4997004c-032e-4aef-9167-34f344b72690;après que;2024-10-16T07:40:32;dans la mesure où à peine;2024-10-15T16:27:00
2;57f329c3-e2a6-4851-b7e6-39db8b44b37b;PROCESSED;18030663-de85-47d0-a22d-0a2e6e27af44;20110.58;demain ouah établir;fon;358f0069-ac66-49c3-8199-522cd8552ca6;contribuer à la faveur de;2024-10-15T21:04:07;maigre pschitt moins;2024-10-15T15:23:59
3;d35285e6-0983-4bbe-983b-96603a547c88;SENT;b20d0bb5-bbb1-4361-ad63-8450cc432bbe;12360.2;rectorat aspirer;mem;5232cbb4-5c59-4936-9a89-58ba16290c6e;à force de;2024-10-16T02:10:43;patientèle de façon que;2024-10-16T12:23:18
4;f1663a1b-5a12-4c19-bd23-a03ea4e59f75;FAILED;30315fec-7d17-4094-b5b7-35762923fdac;24166.3;pourvu que commis de cuisine croâ;ded;54d57101-87f3-4b6a-9ef5-2ba7c843f940;lentement;2024-10-15T15:24:30;empêcher réussir;2024-10-16T05:21:56
5;2f13457b-dce5-48db-a016-1625028be850;FAILED;44db86c0-4ad1-4811-a9b6-49de7c2e970d;3491.15;cuicui;lon;a8804d14-6b29-45fe-bb20-99590b0074e6;engager dès que désagréable;2024-10-16T05:04:48;rudement;2024-10-16T11:10:54
6;8ec5bbc1-d334-4326-8687-6074cbf5842e;FAILED;4172a680-a228-436a-8904-5137586ccdec;10123.95;jusqu’à ce que insipide athlète;à c;8730c450-34a3-4399-88e1-800f56acd91e;mélancolique;2024-10-15T15:59:10;descendre;2024-10-15T16:04:52
7;5250b959-7999-4772-867d-d36ae7172b81;SENT;a1b37668-c7df-4d40-aa54-2c85ddf8f1f8;17088.06;ha transmettre;mem;0ffb2e01-6c55-4b9c-9be0-9580910264d7;dès que de crainte que partenaire;2024-10-16T11:34:36;gâcher près de plic;2024-10-15T21:43:09
8;69cc8fc7-27fe-40c9-95d1-11c5b414204c;SENT;b88891b5-474a-4a1e-8c64-7939815fe8ea;6554.79;recueillir reconstruire propre;sit;7937b3ef-5769-4ce4-8de0-e68c296d7615;au lieu de clac opérer;2024-10-15T16:16:34;sans comme;2024-10-16T10:43:54
9;154eec8c-4651-4f6a-8cd3-63741ecab9eb;PROCESSED;1b5fe057-d771-4e09-a4c6-4095235c00a9;28447.98;glouglou;rap;d5d6ed18-c8da-46c5-822d-a6ea96ed551a;hier;2024-10-15T13:47:20;adorable direction;2024-10-16T00:13:56
10;19fa64b3-45dc-4909-9692-b2d17d0566db;PROCESSED;ef9b0597-a5ce-4a25-a544-c40246df8b8f;7423.93;emmerder crac;pen;8164b358-7ec0-4467-bc4d-affc0862eacc;à côté de psitt pauvre;2024-10-15T21:40:48;sitôt touriste;2024-10-16T04:07:43
