id;uuid;wallet_holder;heading;status;content;data;language;created_date
1;785b7f43-bd5a-41d1-b649-161ef04415b9;38da72e5-de80-4ecb-a274-98ea35fc8251;au-delà;PENDING;candide bang;divinement au point que;co;2024-10-15T15:35:43
2;5f93c019-b6f7-4caa-b7ed-d9b1805491bd;3ab937c5-f325-49c5-9821-ba06dbef95e0;géométrique;PROCESSED;toc-toc de sorte que;jeune enfant comme;tu;2024-10-16T06:14:57
3;8242921f-24fe-4b46-8f9b-d5e7dfeebd99;35d167e9-3e40-4ce2-8d24-fb292b876441;vorace par rapport à pour que;FAILED;partenaire aigre carrément;ici;ai;2024-10-15T21:00:52
4;b0a5a9e5-4d14-40c2-9b56-bcba4c1aed83;1ff924b6-556f-400f-9c59-f05bc35087ad;prout étant donné que cocorico;REQUESTED;fourbe;miam;en;2024-10-16T11:39:25
5;a20d6de6-35ec-4fd4-84c9-f560f49282fa;8e62cedb-3aba-4d09-accc-1d464c172a9c;trop conseil d’administration crac;PENDING;croâ;au-dehors tchou tchouu;vi;2024-10-15T15:53:54
6;b8e06857-c6e3-45ec-b87e-897ec888e0aa;54f78284-8155-46c6-b7b7-4bfa1aa69e0b;goûter;REQUESTED;au prix de multiple bang;encore sans efficace;qu;2024-10-16T03:04:51
7;6f4f908a-6f5f-491d-b911-1f60c3d1fa19;3b1634f2-5afc-4edb-ad53-f473bfd81c17;comme triangulaire;FAILED;touchant actionnaire;maintenant;vo;2024-10-16T08:01:12
8;3e0ebf7f-509a-4bd7-ae87-ab8050567d1d;b8641bf9-d8fb-47aa-872d-dc7005beaadf;repentir;FAILED;à défaut de ;dans pendant;ét;2024-10-16T05:29:29
9;0cd17cc1-bec1-4b4e-903d-003555f6cd54;c8b8efdd-090a-4ed4-addb-dabc0e810ad0;recta par rapport à conseil municipal;PENDING;que;à travers équipe quitte à;fi;2024-10-16T12:25:12
10;0dc49c0d-5c9c-42d3-b174-d87f28f512bd;130452ae-de05-4a5d-a860-c5ce5c4f137a;refuser;PENDING;absolument quand solitaire;retracer davantage;he;2024-10-16T09:54:10
