id;name;type;parent;location;headcount;created_by;created_date
1;ha ha adepte deçà;CORPORATION;poser;autour de signifier vu que;10388;avant;2024-10-15T21:01:52
2;assurément;GOVERNMENT;triathlète avant que pacifique;a bzzz capter;628;constituer aussitôt;2024-10-15T14:27:53
3;pendant que éclairer;CORPORATION;pis touchant;souple tandis que;29215;smack tsoin-tsoin dévoiler;2024-10-16T01:36:28
4;miam conseil municipal au-delà;OTHER;mature;dès que à l'exception de adorable;28016;commis;2024-10-16T04:19:40
5;administration pendant blême;GOVERNMENT;psitt tendre;au prix de;29406;de façon à;2024-10-16T11:45:59
6;propre triompher;UNIVERSITY;lunatique jeune enfant désormais;avant que;25677;en faveur de au moyen de rudement;2024-10-15T21:59:01
7;vide;NONPROFIT;placide diététiste moins;assez au-devant malgré;4595;près de plus;2024-10-16T09:05:46
8;trop;GOVERNMENT;tout si bien que miam;hi personnel quand;24874;paf recouvrir;2024-10-15T17:09:31
9;tellement commissionnaire;NONPROFIT;concurrence;broum;8611;bof;2024-10-16T12:19:01
10;personnel professionnel;GOVERNMENT;vlan où;dégager;23264;songer à côté de demain;2024-10-15T14:44:22
