id;uuid;wallet_holder;title;description;status;media;media_content_type;price;compare_at_price;cost_per_item;profit;margin;inventory_quantity;inventory_location;track_quantity
1;cfe050bf-d62f-4f9e-823a-b5c1fd51a771;537b157e-a262-44af-af74-080cf69a2bc8;vorace;surmonter spécialiste autrefois;Inactive;../fake-data/blob/hipster.png;image/png;15871.12;24462.91;16946.09;2392.9;26221.11;3909;biathlète pschitt bien que;false
2;b2958d46-d12f-45fc-9e7a-e8181ea97fc4;443eb1a5-dee1-4d16-b7a6-dc868e798364;effacer responsable;multiplier conseil d’administration approcher;Inactive;../fake-data/blob/hipster.png;image/png;854.21;22394.23;10520.52;1160.41;2963.9;25060;commis de cuisine ding;true
3;27e72d1e-012a-4774-aad8-b20bdc23c711;33268edc-88bd-4519-8133-ab289fb75fad;durant avant de;grâce à commis de cuisine soit;Active;../fake-data/blob/hipster.png;image/png;4229.21;31444.48;25494.65;31733.71;1942.32;6988;à force de sentir;true
4;f4afb63a-eab7-45c2-8d5a-f72a33d1b410;de7f54de-c39a-41ef-8b16-76135b76962e;rose;tchou tchouu derrière vroum;Active;../fake-data/blob/hipster.png;image/png;14450.4;8020.87;6532.01;11629.28;26126.01;5516;population du Québec davantage;false
5;f6bebf50-a91c-43c0-ab6f-59fdcc1c0352;98537e06-c6af-4732-8210-2b08c022d8c7;combien via;rapide;Inactive;../fake-data/blob/hipster.png;image/png;801.17;27204.83;28953.22;23550.51;31133.59;29400;multiple;false
6;a548acf8-d087-48ba-905d-57de725e6e98;b64d1de7-aaa3-4819-8004-4fbd9925e762;en dedans de;joliment;Inactive;../fake-data/blob/hipster.png;image/png;17814.85;3640.82;10039.92;20444.33;6438.29;25795;afin de entre-temps hôte;true
7;ce7e96da-f25d-46c1-ba5b-7ddd2979761d;ea25859a-0493-45c7-9022-8656d1fb4d91;condamner triathlète badaboum;vide jamais pourvu que;Active;../fake-data/blob/hipster.png;image/png;11869.44;11333.27;2866.28;26954.95;24718.49;12297;vu que si bien que;false
8;28ae62b6-a08f-4895-beac-e04676081c93;b9089802-1b18-4bdd-8dc5-dd8f29589f30;en vérité incarner;membre de l’équipe;Active;../fake-data/blob/hipster.png;image/png;6421.55;15513.1;2040.86;14325.99;4239.62;20365;pendant que;true
9;8b062918-7c40-4aa9-81cd-6e865de206f6;5b225005-1586-4b88-95a3-7ad29fb0a59b;pschitt en dépit de;rectorat d'avec touriste;Active;../fake-data/blob/hipster.png;image/png;14348.77;15744.44;23276.92;14578.25;12062.7;17273;quitte à;false
10;7847b993-c28c-42e7-b8f5-48ffccc63f5c;a544940a-6726-4171-9a05-ec8a5b768336;au défaut de à force de membre de l’équipe;bof avant que cuicui;Inactive;../fake-data/blob/hipster.png;image/png;30042.95;29669.57;10476.22;13417.8;5341.17;11908;rapide alors que;true
