id;uuid;referal_code;wallet_holder;refered;status;created_by;created_date;last_modified_by;last_modified_date
1;cb7ccf10-cf83-48da-b45b-1ad59bfc578c;surprendre loin de ha ha;96ef55ab-0a1d-4d32-83c3-939d6e0e4ead;94f462e1-f673-4501-bb55-8be30a9945ab;REJECTED;comme jusque;2024-10-15T19:58:19;jamais à bas de direction;2024-10-16T12:25:24
2;a51a0c01-6375-454e-b2fd-c83142eef23d;ha;d45ca4b0-3c6b-4283-b363-35e73651fb0e;13b5f924-aa6f-492f-954b-72f6d9f16390;CONFIRMED;sans doute responsable;2024-10-15T22:19:19;chez blablabla tout à fait;2024-10-16T09:54:15
3;232b62b5-2772-409d-9c7b-ceab2814bf31;conseil municipal pschitt de crainte;f4537527-131e-4125-956b-890a7a8ba1c7;93f4f1b2-aee8-488e-8039-e19851d7feff;PAID;gai;2024-10-16T09:53:29;bien que;2024-10-15T22:27:29
4;69c94bf9-4d5e-4a83-a2f6-b51429231cee;plus de par jeune enfant;f07fc814-2a1b-41c8-9b7e-a8c0b037b8a3;392458b6-112c-4433-a945-7993962e6a00;PENDING;durant auprès de;2024-10-16T08:34:21;après que bien;2024-10-16T08:40:25
5;70d2127c-9f83-4a54-8a4f-96ae86339d44;sans que fort actionnaire;f4f07f67-fbf4-4571-beeb-fe45afa031af;17acc09e-ce72-4d25-9ad4-e1a99e6ce960;PENDING;triangulaire énorme;2024-10-16T13:06:43;contredire où;2024-10-16T07:18:35
6;42afc221-9813-4fcd-a368-c52423ee4e67;direction;290bda3b-6df0-4ae1-8aab-8286c0c6fd2b;63b6dc99-967a-490d-b332-5278e7c2795d;REJECTED;cadre extatique;2024-10-15T17:14:34;touriste rose quand;2024-10-16T05:16:41
7;589944ea-b105-41e3-8979-099cffb3e61b;vu que si bien que en guise de;8437cf7c-e465-41fd-b8d3-94e43055cd5d;17d8b7a0-535b-4d44-8e30-97c635692afb;REJECTED;désagréable;2024-10-15T17:29:32;envahir parlementaire jusque;2024-10-15T17:44:48
8;0527aca2-903d-4fca-a2ad-38b5fa40d833;hirsute sans doute du fait que;ac811b7a-2dcb-44a0-bf5f-ef39910e3968;77c2d2da-547c-48ec-890e-8d585d224bc1;PAID;ailleurs membre du personnel;2024-10-16T13:32:10;assez amorphe aïe;2024-10-15T15:44:49
9;9ecdb19a-f89e-4e5e-b0c5-0e62071c00dc;infime pour que pourvu que;8bcb43f5-24f1-4d77-b524-59ddebae648f;ca5ac64c-c03b-44ec-85e5-faed5044572d;PAID;pourvu que euh de façon à ce que;2024-10-15T22:03:58;chut triangulaire;2024-10-16T12:23:05
10;4c5b2758-cb4f-4898-95cb-bf7f94be33e9;de façon à ce que;19214f93-9e33-4066-8eb6-a468cabe07ed;5f8d0aa7-e8f4-4343-9b84-01a221b89cb3;REJECTED;hôte;2024-10-15T18:09:31;près au-dessous de fidèle;2024-10-15T18:11:37
