id;uuid;type;status;direction;amount;description;fee;commission;currency;counterparty_type;counterparty_id;entry_date;effective_date;start_time;end_time;parent;reference;external_id;partner_token;wallet;created_by;created_date;last_modified_by;last_modified_date
1;55dc2961-b229-4aaf-baa7-1da98cd53a19;REBATE;PARTNER_CONFIRMED;DEBIT;23946.44;à force de;15314.6;13852.06;équ;BENEFICIARY;grrr après;2024-10-16;2024-10-16;2024-10-16T00:29:34;2024-10-16T07:54:51;ab998a8d-6fbb-415c-952c-0a1776d40db7;tout à fait oh horrible;à partir de complètement dorénavant;bien que ici;392fe368-13f2-41a0-84b8-c94c666a1a30;lectorat électorat;2024-10-16T03:43:05;ramasser par beaucoup;2024-10-16T12:14:25
2;eeabcac5-683d-41ae-9963-85abddf8d35f;PAY;PARTNER_REJECTED;CREDIT;29650.41;grrr;17941.58;20028.88;de ;BENEFICIARY;ainsi;2024-10-16;2024-10-16;2024-10-16T04:36:25;2024-10-15T19:34:25;1c523710-5873-4ed2-a12b-36a34fdaa944;après-demain;toc aïe ça;miam;5fbe8aa6-a8ba-43f6-857f-a05e373622fe;après-demain;2024-10-15T21:45:49;adorable ensemble;2024-10-16T12:05:10
3;440a5b37-9765-4fa4-bf44-b508c0d969e2;CASH_IN;TO_CONFIRM;DEBIT;25730.1;évoluer alors que;1284.07;1000.3;hor;BENEFICIARY;perdre efficace;2024-10-15;2024-10-16;2024-10-16T12:58:28;2024-10-16T06:36:32;56b0484b-1544-47c7-95d9-c9d1ccd39699;aussitôt communauté étudiante;dans la mesure où rédaction;propre;ceba7de9-4065-433d-a4e6-1db1905eed91;outre ça;2024-10-16T00:37:28;contre sans doute;2024-10-16T01:36:32
4;241e2998-a91d-4f81-9709-0043110cec43;TRANSFER_OUT;PROCESSED;DEBIT;14103.83;biathlète miaou;8431.23;5998.63;vit;BENEFICIARY;loin de concernant;2024-10-16;2024-10-16;2024-10-15T13:58:25;2024-10-16T03:19:45;12ae42f2-0cdc-49b2-975f-a2b997bbd8c5;évaluer tic-tac;comme;relier;ef1d9015-9494-4087-839e-6d95a863f09c;adversaire si bien que ding;2024-10-16T11:51:57;au-dessus;2024-10-15T23:52:03
5;0ab3872f-2386-4ffe-8f33-ec1e76d62458;TRANSFER_OUT;FAILED;CREDIT;5522.17;espiègle vouh;30627.39;28874.19;éga;RECIPIENT;suffisamment chanter;2024-10-16;2024-10-15;2024-10-16T11:06:38;2024-10-15T20:14:05;6da56621-879c-43a1-991e-33719e0afb40;mieux pourvu que ferme;en dehors de;membre titulaire;367a3212-13a9-49fb-a69b-29570a637610;loufoque grrr;2024-10-16T07:51:05;vu que intrépide turquoise;2024-10-15T19:22:38
6;13cd7b45-bdee-4a4e-b977-5455ddfec08d;TRANSFER_OUT;PENDING;DEBIT;25164.74;autant;23588.2;26672.19;sur;CARD;sympathique;2024-10-15;2024-10-15;2024-10-15T18:46:37;2024-10-15T18:44:36;47be5417-78c8-4f53-b714-3ed2a8b89faf;diététiste pendant que;présidence presser triathlète;arriver de façon à à même;15513a52-f123-4cd7-b9a5-3e3e4fe938f9;chef;2024-10-15T17:45:27;encore selon;2024-10-16T09:34:20
7;9f8116ce-5a49-43a1-968f-cf8f61c8050f;PAY;CONFIRMED;CREDIT;8071.06;prout;24947.34;30816.78;tou;RECIPIENT;par;2024-10-15;2024-10-16;2024-10-16T09:24:03;2024-10-15T14:30:19;52357b0b-0d8f-440d-95a7-f0c307846711;fidèle;hier approximativement;prestataire de services dans la mesure où timide;06e7a179-6f90-4bdd-8ada-2e6331dd061f;foule;2024-10-15T14:18:49;secours chut insuffisamment;2024-10-15T17:07:31
8;49ab09de-4123-4175-a365-dcee67d6c48d;TRANSFER_IN;FAILED;DEBIT;6831.94;éteindre jadis gens;2783.78;24244.17;rap;WALLET;préoccuper;2024-10-16;2024-10-16;2024-10-16T11:48:07;2024-10-16T07:06:04;493084f8-7729-4aa1-9d7d-8df15bea81d5;fermer marquer;bon fade lectorat;triste;e23b45c3-b24d-45a0-ae52-a2cda48a729e;sauf à;2024-10-15T21:57:48;espiègle;2024-10-15T21:21:26
9;f0bd2237-7f1b-4cc8-96f2-5c14d8041060;REBATE;PROCESSED;CREDIT;1572.82;tsoin-tsoin porte-parole;2597.83;26699.11;éta;WALLET;pff toc;2024-10-16;2024-10-16;2024-10-15T22:48:38;2024-10-16T02:31:56;3ee5384d-684e-45b5-9a59-8f1162b4c186;plutôt de peur que incarner;sur toutefois;personnel professionnel patientèle;8ebfe48e-18ef-4556-a0bd-f5ec4f1409c8;membre du personnel atchoum;2024-10-16T03:51:11;où;2024-10-16T00:50:59
10;a37b50c2-7445-4796-9bd7-b279acb33141;COMMISSION;PROCESSED;CREDIT;8812.73;pousser tailler sans que;7278.02;15309.8;jus;WALLET;ha ha;2024-10-15;2024-10-15;2024-10-15T21:35:33;2024-10-15T20:18:52;996cbf59-c742-4dd0-94e5-37f76bf2f5d4;croâ;hors hi;avant que;e5e5220d-166b-49a7-a5d7-42c863f8d42a;atchoum à la merci douter;2024-10-16T12:00:00;du fait que aïe croâ;2024-10-15T22:19:03
