id;login;ip_address;device;created_date
1;de peur de d'entre;fidèle réciter tant;cd261d1c-728f-4337-bf0b-8f9a65609512;2024-10-15T19:05:53
2;trop;tandis que;19ecb3c9-df9a-49bd-a395-7ac366005d6e;2024-10-16T09:31:21
3;meuh rose a;derrière;5d2b7b77-64b5-4a3a-b9ec-763eb1b5cb2d;2024-10-16T08:47:12
4;outre;retentir;1ce10022-5208-42d0-920a-b5947171a542;2024-10-15T16:48:12
5;extra à l'insu de constater;toc antagoniste;0cddb074-6a20-471a-b9e4-e0d8b6b7d81c;2024-10-15T18:44:39
6;totalement tant aimable;étendre;c66a1019-7c9e-4583-8d30-89d91eb80dca;2024-10-15T18:16:10
7;énorme conseil d’administration ouille;secours cadre vroum;bad41446-f085-4b2a-a004-ddfd2f424500;2024-10-16T08:51:01
8;conseil d’administration triangulaire vu que;au dépens de;bf614942-c388-45d5-bed3-1f5d2014bf36;2024-10-15T22:08:50
9;parce que cuicui;tant que naguère sincère;b8f3339d-cf7c-4c73-b529-b51372d33165;2024-10-15T17:56:03
10;peut-être présidence du fait que;là-haut guide raide;eeb72d82-05ca-4e07-add0-bc4e9b16780c;2024-10-16T05:21:51
