id;wallet_holder;affiliation;created_by;created_date
1;f555e9ad-2b59-46f9-b14b-0f1d3feaaa85;cocorico plouf;aujourd'hui;2024-10-16T09:32:09
2;ac8af227-5a46-4176-bccb-015cfb3ac025;smack fonctionnaire;membre du personnel ronron;2024-10-16T04:00:35
3;f848b067-f466-4754-8468-9831d185cf4e;soit;suivant;2024-10-15T17:15:53
4;33fbfea3-69f8-49a1-a5f1-f8e507c9333c;turquoise révéler alentour;trop peu secours;2024-10-15T17:04:25
5;8512b23a-dbc6-4ec3-8aed-d6734bbffd6b;plonger vibrer dissimuler;sous couleur de meuh;2024-10-15T18:27:24
6;e49e38cc-a5dd-40a6-9e9f-a31a1e608287;à l'insu de;tant que magenta satisfaire;2024-10-16T09:26:43
7;e757ee2e-6af3-4b77-9142-48c97077aaa6;hors premièrement au-dedans de;fournir si;2024-10-16T01:55:29
8;dcbeb488-8e93-4395-99d6-58f8d144cf93;main-d’œuvre sédentaire coupable;cadre atchoum;2024-10-16T03:04:19
9;2eb4b409-fa0f-425e-8990-4b0442084a39;prestataire de services sombre au-dessous de;rappeler hôte plouf;2024-10-15T22:42:16
10;0aae47d3-5602-4fc3-9aea-5abd16b938a1;incalculable ah étant donné que;à bas de cot cot ah;2024-10-15T22:36:54
